id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
6372,Vampire Academy,"Comedy, Action, Fantasy",en,6.3,1,44,2014-02-07,1730,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood",30000000.0,15391979.0
6373,Hide and Seek,"Horror, Mystery",en,6.3,1,41,2005-01-27,1553,John Polson,"Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue, Amy Irving",30000000.0,127369981.0
6374,Premium Rush,"Crime, Action, Thriller",en,6.3,1,31,2012-08-24,2097,David Koepp,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Jamie Chung, Wolé Parks",35000000.0,31100000.0
6375,Beastly,"Drama, Fantasy, Romance",en,6.3,1,26,2011-01-21,2744,Daniel Barnz,"Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, LisaGay Hamilton, Neil Patrick Harris",17000000.0,43200000.0
6376,Beauty Shop,"Comedy, Romance",en,6.3,1,45,2005-04-22,501,Bille Woodruff,"Queen Latifah, Alicia Silverstone, Kevin Bacon, Djimon Hounsou, Alfre Woodard",25000000.0,36351350.0
6377,Honey,"Music, Drama, Romance",en,6.3,1,34,2003-11-24,1160,Bille Woodruff,"Jessica Alba, Mekhi Phifer, Romeo, Joy Bryant, David Moscow",18000000.0,62646763.0
6378,Albert Nobbs,Drama,en,6.3,1,53,2011-12-21,465,Rodrigo García,"Glenn Close, Mia Wasikowska, Aaron Taylor-Johnson, Janet McTeer, Pauline Collins",8000000.0,5634828.0
6379,Camp Rock 2: The Final Jam,"Comedy, Music, TV Movie",en,6.3,1,38,2010-09-17,1502,Paul Hoen,"Demi Lovato, Joe Jonas, Nick Jonas, Kevin Jonas, Daniel Fathers",0.0,0.0
6380,Encounter,"Science Fiction, Mystery, Thriller, Drama",en,6.3,1,48,2021-12-03,425,Michael Pearce,"Riz Ahmed, Octavia Spencer, Lucian-River Chauhan, Rory Cochrane, Aditya Geddada",0.0,0.0
6381,Just a Breath Away,"Drama, Science Fiction, Thriller",fr,6.3,1,30,2018-04-04,777,Daniel Roby,"Romain Duris, Olga Kurylenko, Fantine Harduin, Michel Robin, Anna Gaylor",13749400.0,2842040.0
6382,A Walk Among the Tombstones,"Crime, Drama, Mystery, Thriller",en,6.3,1,54,2014-09-18,2781,Scott Frank,"Liam Neeson, Dan Stevens, David Harbour, Boyd Holbrook, Ólafur Darri Ólafsson",28000000.0,58834384.0
6383,Red Corner,"Crime, Drama, Thriller",en,6.3,2,2,1997-10-30,354,Jon Avnet,"Richard Gere, Bai Ling, Bradley Whitford, Byron Mann, Peter Donat",48000000.0,22420000.0
6384,Octopussy,"Adventure, Action, Thriller",en,6.3,2,11,1983-06-05,1945,John Glen,"Roger Moore, Maud Adams, Louis Jourdan, Kristina Wayborn, Kabir Bedi",27500000.0,187500000.0
6385,Quantum of Solace,"Adventure, Action, Thriller, Crime",en,6.3,1,46,2008-10-29,7791,Marc Forster,"Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench, Giancarlo Giannini",200000000.0,589593688.0
6386,The Emperor of Paris,"Drama, Crime, Thriller",fr,6.3,2,1,2018-12-19,481,Jean-François Richet,"Vincent Cassel, Patrick Chesnais, August Diehl, Olga Kurylenko, Denis Lavant",0.0,0.0
6387,Rebel Moon - Part One: A Child of Fire,"Science Fiction, Drama, Action, War",en,6.3,2,14,2023-12-15,2102,Zack Snyder,"Sofia Boutella, Michiel Huisman, Ed Skrein, Djimon Hounsou, Bae Doona",83000000.0,0.0
6388,The Endless,"Science Fiction, Horror, Thriller",en,6.3,1,52,2017-11-05,1072,Aaron Moorhead,"Aaron Moorhead, Justin Benson, Callie Hernandez, Tate Ellington, Shane Brady",1000000.0,956425.0
6389,Extinction,"Action, Drama, Science Fiction, Thriller",en,6.3,1,36,2020-01-18,674,Ben Young,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Lex Shrapnel",0.0,1451864.0
6390,Barbershop: The Next Cut,"Comedy, Drama",en,6.3,1,52,2016-04-15,452,Malcolm D. Lee,"Ice Cube, Cedric the Entertainer, Regina Hall, Sean Patrick Thomas, Eve",20000000.0,55030051.0
6391,Alice in Wonderland,"Fantasy, Family",en,6.3,2,9,1999-02-28,340,Nick Willing,"Tina Majorino, Robbie Coltrane, Ben Kingsley, Miranda Richardson, Martin Short",21000000.0,0.0
6392,Tom and Jerry: The Movie,"Animation, Comedy, Family, Music",en,6.3,1,24,1992-10-01,576,Phil Roman,"Richard Kind, Dana Hill, Anndi McAfee, Tony Jay, Rip Taylor",3500000.0,3600000.0
6393,Kate & Leopold,"Romance, Comedy, Fantasy",en,6.3,1,58,2001-12-25,1336,James Mangold,"Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne",48000000.0,76019048.0
6394,Proof,"Drama, Mystery",en,6.3,1,41,2005-09-05,661,John Madden,"Gwyneth Paltrow, Anthony Hopkins, Jake Gyllenhaal, Hope Davis, Danny McCarthy",20000000.0,7535331.0
6395,Casper,"Fantasy, Comedy, Family",en,6.3,1,40,1995-05-26,4560,Brad Silberling,"Malachi Pearson, Christina Ricci, Bill Pullman, Cathy Moriarty, Eric Idle",50000000.0,287928194.0
6396,The Bar,"Horror, Thriller, Comedy",es,6.3,1,42,2017-02-15,1292,Álex de la Iglesia,"Blanca Suárez, Mario Casas, Carmen Machi, Secun de la Rosa, Jaime Ordóñez",6045750.0,3662671.0
6397,War,"Action, Thriller",en,6.3,1,43,2007-08-24,1770,Philip G. Atwell,"Jet Li, Jason Statham, John Lone, Devon Aoki, Luis Guzmán",25000000.0,40452643.0
